type,term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,discipline,outcome_type,regression_type
response,treat,Jan-00,0.195242412,0.554862178,0.35187551,0.724931626,-0.892267473,1.282752296,Art,Citation Cascade SP,100PercentLm
response,treat,Jan-00,0.781378543,2.311105202,0.33809735,0.735289828,-3.748304416,5.311061503,Art,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,-0.014731253,0.005346839,-2.755132939,0.005866829,-0.025210865,-0.004251641,Environmental Science,Reference Cascade NC,lm
response,treat,Jan-00,-5.074073938,2.670876328,-1.899778693,0.057462168,-10.30889535,0.160747471,Environmental Science,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-0.958291199,0.760415946,-1.260219758,0.207590097,-2.448679066,0.532096667,Environmental Science,Reference Cascade SP,lm
response,treat,Jan-00,-1023.968604,648.2062586,-1.579695645,0.114176584,-2294.429525,246.4923179,Environmental Science,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,-2.925466871,2.441299545,-1.198323605,0.230791061,-7.710326054,1.859392312,Environmental Science,Reference Cascade SP,100PercentLm
response,treat,Jan-00,0.005357901,0.009952403,0.538352436,0.590333757,-0.014148452,0.024864253,Environmental Science,Citation Cascade NC,lm
response,treat,Jan-00,0.050543181,0.394444214,0.128137717,0.898039988,-0.722553271,0.823639634,Environmental Science,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.005766825,0.319536412,0.018047473,0.985600982,-0.620513034,0.632046683,Environmental Science,Citation Cascade SP,lm
response,treat,Jan-00,-0.182311187,0.401866671,-0.453660879,0.650072928,-0.969955389,0.605333014,Environmental Science,Citation Cascade SP,100PercentLm
response,treat,Jan-00,-1.048085927,1.685164017,-0.621948912,0.533975462,-4.350946708,2.254774855,Political Science,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.010728949,0.00826108,-1.298734489,0.194035064,-0.026920368,0.00546247,Political Science,Reference Cascade NC,lm
response,treat,Jan-00,-5.384970857,3.468605733,-1.5524886,0.120545358,-12.18331317,1.413371456,Political Science,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-0.912141759,1.077041642,-0.846895537,0.39705335,-3.023104587,1.198821068,Political Science,Reference Cascade SP,lm
response,treat,Jan-00,-2534.0158,2430.31297,-1.042670566,0.297100895,-7297.341693,2229.310093,Political Science,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,-3.709732446,3.409734791,-1.087982695,0.276602747,-10.39268983,2.97322494,Political Science,Reference Cascade SP,100PercentLm
response,treat,Jan-00,0.014292239,0.007025616,2.034304136,0.04192094,0.000522285,0.028062193,Political Science,Citation Cascade NC,lm
response,treat,Jan-00,1.830757831,0.906725229,2.01908778,0.043478097,0.053609037,3.607906624,Political Science,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.400994118,0.284332519,1.410299883,0.158451153,-0.156287378,0.958275614,Political Science,Citation Cascade SP,lm
response,treat,Jan-00,0.784320465,0.745218395,1.052470618,0.292583684,-0.67628075,2.244921679,Political Science,Citation Cascade SP,100PercentLm
response,treat,Jan-00,13.214168,1.221568709,10.81737597,2.85E-27,10.81993733,15.60839868,Economics,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.019668519,0.000788783,-24.93528822,3.08E-137,-0.021214505,-0.018122534,Economics,Reference Cascade NC,lm
response,treat,Jan-00,-32.12711145,1.027942392,-31.25380536,1.98E-214,-34.14184151,-30.11238138,Economics,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-0.965803517,0.054597194,-17.68961831,5.04E-70,-1.07281205,-0.858794984,Economics,Reference Cascade SP,lm
response,treat,Jan-00,-904.9203393,76.88771378,-11.76937504,5.61E-32,-1055.617489,-754.2231894,Economics,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,-15.05828566,0.897281415,-16.78212143,3.30E-63,-16.81692492,-13.29964641,Economics,Reference Cascade SP,100PercentLm
response,treat,Jan-00,-0.00580796,0.001297182,-4.477368023,7.56E-06,-0.00835039,-0.003265531,Economics,Citation Cascade NC,lm
response,treat,Jan-00,-4.37233201,0.782272813,-5.589267503,2.28E-08,-5.905558549,-2.839105471,Economics,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.019188479,0.055561509,0.34535561,0.729827045,-0.089710077,0.128087034,Economics,Citation Cascade SP,lm
response,treat,Jan-00,0.143535254,0.649327852,0.221052052,0.825051904,-1.12912395,1.416194457,Economics,Citation Cascade SP,100PercentLm
response,treat,Jan-00,-234.0191096,126.4011203,-1.851400596,0.064111943,-481.760753,13.72253389,Economics,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,-0.871344021,0.948601471,-0.918556472,0.358327608,-2.73056874,0.987880698,Sociology,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.004775359,0.002291313,-2.084114962,0.037149711,-0.00926625,-0.000284469,Sociology,Reference Cascade NC,lm
response,treat,Jan-00,-6.463211647,2.632355794,-2.455295619,0.014076877,-11.6225342,-1.303889097,Sociology,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-0.86221066,0.264955874,-3.254166995,0.001137254,-1.381514631,-0.34290669,Sociology,Reference Cascade SP,lm
response,treat,Jan-00,-690.8135614,221.8460714,-3.113931913,0.001846121,-1125.623871,-256.0032515,Sociology,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,-10.89162181,3.126121308,-3.48406883,0.000493852,-17.01870698,-4.764536634,Sociology,Reference Cascade SP,100PercentLm
response,treat,Jan-00,0.00318554,0.003954736,0.805500126,0.420531134,-0.0045656,0.01093668,Sociology,Citation Cascade NC,lm
response,treat,Jan-00,0.887044079,1.722027476,0.515116101,0.606471892,-2.488067754,4.262155913,Sociology,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.026682199,0.150254043,0.177580574,0.859052382,-0.267810313,0.321174711,Sociology,Citation Cascade SP,lm
response,treat,Jan-00,-0.106153362,1.240622172,-0.085564618,0.931812526,-2.537728137,2.325421412,Sociology,Citation Cascade SP,100PercentLm
response,treat,Jan-00,-30.22724455,183.5309452,-0.164698354,0.869181413,-389.9412873,329.4867982,Sociology,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,9.983799753,1.064374107,9.379972405,6.60E-21,7.897664837,12.06993467,Geology,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.007008654,0.000554424,-12.64131623,1.25E-36,-0.008095305,-0.005922002,Geology,Reference Cascade NC,lm
response,treat,Jan-00,-16.27049219,1.095998916,-14.84535428,7.46E-50,-18.41861059,-14.12237379,Geology,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-0.527172611,0.034367779,-15.33915259,4.19E-53,-0.594532221,-0.459813002,Geology,Reference Cascade SP,lm
response,treat,Jan-00,-2043.465283,129.353462,-15.79753067,3.24E-56,-2296.99341,-1789.937156,Geology,Reference Cascade SP,Negative-binomial
